word,exclusion_category
tomas,CHARACTER_NAME
toute,FOREIGN
tro,TRUNCATED
tuco,CHARACTER_NAME
tulaberries,MADE_UP
tulaberry,MADE_UP
turtei,FOREIGN
tyno,TRUNCATED
uno,FOREIGN
unti,TRUNCATED
usted,FOREIGN
ustedes,FOREIGN
vamonos,FOREIGN
vamos,FOREIGN
vancouver,PROPER_NOUN
vedo,FOREIGN
ventually,TRUNCATED
ver,FOREIGN
voglio,FOREIGN
voi,FOREIGN
voy,FOREIGN
wa,TRUNCATED
walt,CHARACTER_NAME
walter,CHARACTER_NAME
whoo,SOUND_EFFECT
whoosh,SOUND_EFFECT
windys,TYPO
wo,TRUNCATED
www,TRUNCATED
xanax,BRAND
yowsa,SOUND_EFFECT
zdorovje,FOREIGN
zzzzt,SOUND_EFFECT
